352800.00s | Vermelho | Pos: (-3.10e+11, 7.23e+09) | Vel: (8.76e+02, 2.01e+04) | Acel: (2.48e-03, 3.95e-04)
352800.00s | Verde | Pos: (9.96e+10, 7.50e+09) | Vel: (-2.33e+03, 2.16e+04) | Acel: (-6.63e-03, 4.29e-03)
352800.00s | Azul | Pos: (-8.68e+09, 9.95e+10) | Vel: (-2.33e+04, -2.71e+03) | Acel: (4.98e-03, -7.22e-03)
360000.00s | Vermelho | Pos: (-3.10e+11, 7.37e+09) | Vel: (8.94e+02, 2.01e+04) | Acel: (2.48e-03, 3.95e-04)
360000.00s | Verde | Pos: (9.96e+10, 7.66e+09) | Vel: (-2.37e+03, 2.17e+04) | Acel: (-6.63e-03, 4.28e-03)
360000.00s | Azul | Pos: (-8.85e+09, 9.95e+10) | Vel: (-2.32e+04, -2.76e+03) | Acel: (4.99e-03, -7.21e-03)
367200.00s | Vermelho | Pos: (-3.10e+11, 7.52e+09) | Vel: (9.11e+02, 2.01e+04) | Acel: (2.48e-03, 3.95e-04)
367200.00s | Verde | Pos: (9.95e+10, 7.81e+09) | Vel: (-2.42e+03, 2.17e+04) | Acel: (-6.64e-03, 4.27e-03)
367200.00s | Azul | Pos: (-9.02e+09, 9.95e+10) | Vel: (-2.32e+04, -2.82e+03) | Acel: (4.99e-03, -7.20e-03)
374400.00s | Vermelho | Pos: (-3.10e+11, 7.66e+09) | Vel: (9.29e+02, 2.01e+04) | Acel: (2.49e-03, 3.95e-04)
374400.00s | Verde | Pos: (9.95e+10, 7.97e+09) | Vel: (-2.47e+03, 2.17e+04) | Acel: (-6.65e-03, 4.26e-03)
374400.00s | Azul | Pos: (-9.19e+09, 9.94e+10) | Vel: (-2.32e+04, -2.87e+03) | Acel: (5.00e-03, -7.19e-03)
381600.00s | Vermelho | Pos: (-3.10e+11, 7.81e+09) | Vel: (9.47e+02, 2.02e+04) | Acel: (2.49e-03, 3.95e-04)
381600.00s | Verde | Pos: (9.95e+10, 8.13e+09) | Vel: (-2.52e+03, 2.17e+04) | Acel: (-6.65e-03, 4.26e-03)
381600.00s | Azul | Pos: (-9.35e+09, 9.94e+10) | Vel: (-2.31e+04, -2.92e+03) | Acel: (5.01e-03, -7.18e-03)
388800.00s | Vermelho | Pos: (-3.10e+11, 7.95e+09) | Vel: (9.65e+02, 2.02e+04) | Acel: (2.49e-03, 3.95e-04)
388800.00s | Verde | Pos: (9.95e+10, 8.28e+09) | Vel: (-2.57e+03, 2.18e+04) | Acel: (-6.66e-03, 4.25e-03)
388800.00s | Azul | Pos: (-9.52e+09, 9.94e+10) | Vel: (-2.31e+04, -2.97e+03) | Acel: (5.01e-03, -7.16e-03)
396000.00s | Vermelho | Pos: (-3.10e+11, 8.10e+09) | Vel: (9.83e+02, 2.02e+04) | Acel: (2.49e-03, 3.96e-04)
396000.00s | Verde | Pos: (9.95e+10, 8.44e+09) | Vel: (-2.61e+03, 2.18e+04) | Acel: (-6.67e-03, 4.24e-03)
396000.00s | Azul | Pos: (-9.68e+09, 9.94e+10) | Vel: (-2.30e+04, -3.02e+03) | Acel: (5.02e-03, -7.15e-03)
403200.00s | Vermelho | Pos: (-3.10e+11, 8.24e+09) | Vel: (1.00e+03, 2.02e+04) | Acel: (2.49e-03, 3.96e-04)
403200.00s | Verde | Pos: (9.94e+10, 8.60e+09) | Vel: (-2.66e+03, 2.18e+04) | Acel: (-6.68e-03, 4.23e-03)
403200.00s | Azul | Pos: (-9.85e+09, 9.93e+10) | Vel: (-2.30e+04, -3.07e+03) | Acel: (5.03e-03, -7.14e-03)
410400.00s | Vermelho | Pos: (-3.10e+11, 8.39e+09) | Vel: (1.02e+03, 2.02e+04) | Acel: (2.50e-03, 3.96e-04)
410400.00s | Verde | Pos: (9.94e+10, 8.76e+09) | Vel: (-2.71e+03, 2.19e+04) | Acel: (-6.68e-03, 4.22e-03)
410400.00s | Azul | Pos: (-1.00e+10, 9.93e+10) | Vel: (-2.30e+04, -3.12e+03) | Acel: (5.03e-03, -7.13e-03)
417600.00s | Vermelho | Pos: (-3.10e+11, 8.53e+09) | Vel: (1.04e+03, 2.02e+04) | Acel: (2.50e-03, 3.96e-04)
417600.00s | Verde | Pos: (9.94e+10, 8.91e+09) | Vel: (-2.76e+03, 2.19e+04) | Acel: (-6.69e-03, 4.22e-03)
417600.00s | Azul | Pos: (-1.02e+10, 9.93e+10) | Vel: (-2.29e+04, -3.18e+03) | Acel: (5.04e-03, -7.12e-03)
424800.00s | Vermelho | Pos: (-3.10e+11, 8.68e+09) | Vel: (1.05e+03, 2.02e+04) | Acel: (2.50e-03, 3.96e-04)
424800.00s | Verde | Pos: (9.94e+10, 9.07e+09) | Vel: (-2.81e+03, 2.19e+04) | Acel: (-6.70e-03, 4.21e-03)
424800.00s | Azul | Pos: (-1.03e+10, 9.93e+10) | Vel: (-2.29e+04, -3.23e+03) | Acel: (5.05e-03, -7.10e-03)
432000.00s | Vermelho | Pos: (-3.10e+11, 8.82e+09) | Vel: (1.07e+03, 2.02e+04) | Acel: (2.50e-03, 3.96e-04)
432000.00s | Verde | Pos: (9.94e+10, 9.23e+09) | Vel: (-2.85e+03, 2.20e+04) | Acel: (-6.70e-03, 4.20e-03)
432000.00s | Azul | Pos: (-1.05e+10, 9.93e+10) | Vel: (-2.29e+04, -3.28e+03) | Acel: (5.05e-03, -7.09e-03)
439200.00s | Vermelho | Pos: (-3.10e+11, 8.97e+09) | Vel: (1.09e+03, 2.02e+04) | Acel: (2.50e-03, 3.96e-04)
439200.00s | Verde | Pos: (9.93e+10, 9.39e+09) | Vel: (-2.90e+03, 2.20e+04) | Acel: (-6.71e-03, 4.19e-03)
